Unnamed: 0,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1001,RUMAH HOOK BISA UNTUK TEMPAT USAHA,Rp 450 Juta,"Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10200431/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10200431/original/hos10200431-rumah-di-jual-di-balikpapan-timur-balikpapan-1652148714.jpg,4.0,2.0,74 m²,74 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1002,RUMAH TINGKAT TERAWAT,Rp 875 Juta,"Batu Ampar, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10200420/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10200420/original/hos10200420-rumah-di-jual-di-batu-ampar-balikpapan-1652148587.jpg,3.0,4.0,170 m²,170 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
1003,RUMAH ELIT DUA LANTAI DI PERUMAHAN CIPUTRA,"Rp 5,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9678426/,https://picture.rumah123.com/r123/720x420-crop/house/ho96/9678426/original/hos9678426-rumah-di-jual-di-balikpapan-selatan-balikpapan-1644636056.jpg,4.0,3.0,500 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1.0,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1004,RUMAH STRATEGIS DI KAWASAN PERUMAHAN BUKIT DAMAI INDAH,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9758569/,https://picture.rumah123.com/r123/720x420-crop/house/ho97/9758569/original/hos9758569-rumah-di-jual-di-balikpapan-selatan-balikpapan-1645599673.jpg,4.0,2.0,144 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1005,RUMAH BALIKPAPAN BORNEO PARADISO DEKAT PINTU TOL MANGGAR LUAS 4KT,"Rp 1,2 Miliar","Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9707435/,https://picture.rumah123.com/r123/720x420-crop/house/ho97/9707435/original/hos9707435-rumah-di-jual-di-balikpapan-timur-balikpapan-1644914712.jpg,4.0,3.0,180 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1006,RUMAH BALIKPAPAN TIMUR BORNEO PARADISO BATAKAN DEKAT PINTU TOL (RE16),Rp 595 Juta,"Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9705997/,https://picture.rumah123.com/r123/720x420-crop/house/ho97/9705997/original/hos9705997-rumah-di-jual-di-balikpapan-timur-balikpapan-1644906161.jpg,2.0,1.0,108 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1007,"BALIKPAPAN , PASAR BARU (Y174) KOS2AN DITENGAH KOTA BALIKPAPAN","Rp 7,5 Miliar","Klandasan Ilir, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9698476/,https://picture.rumah123.com/r123/720x420-crop/house/ho96/9698476/original/hos9698476-rumah-di-jual-di-klandasan-ilir-balikpapan-1644833530.jpg,5.0,3.0,644 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,19.0,,,,,,,,,,,,Dijual
1008,PERUMAHAN ELITE SIAP HUNI,"Rp 1,6 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9517149/,https://picture.rumah123.com/r123/720x420-crop/house/ho95/9517149/original/hos9517149-rumah-di-jual-di-balikpapan-selatan-balikpapan-1642471663.jpg,2.0,2.0,160 m²,135 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1009,DI JUAL RUMAH MEWAH DI KAWASAN PERUMAHAN MULAWARMAN,Rp 10 Miliar,"Sepinggan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9478492/,https://picture.rumah123.com/r123/720x420-crop/house/ho94/9478492/original/hos9478492-rumah-di-jual-di-sepinggan-balikpapan-1641886664.jpg,4.0,5.0,826 m²,998 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1010,HARGA BERSAING SIAP HUNI MODEL KLASIK,Rp 650 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9442511/,https://picture.rumah123.com/r123/720x420-crop/house/ho94/9442511/original/hos9442511-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832586.jpg,4.0,3.0,150 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1011,"BALIKPAPAN BARU,  RUMAH COCOK UNTUK MESS","Rp 2,3 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9254804/,https://picture.rumah123.com/r123/720x420-crop/house/ho92/9254804/original/hos9254804-rumah-di-jual-di-balikpapan-selatan-balikpapan-1638251859.jpg,6.0,2.0,234 m²,156 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1012,RUMAH NYAMAN DIKOMPLEX ELITE,Rp 1 Miliar,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9254712/,https://picture.rumah123.com/r123/720x420-crop/house/ho92/9254712/original/hos9254712-rumah-di-jual-di-balikpapan-selatan-balikpapan-1638251210.jpg,2.0,1.0,120 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1.0,,,,,,,,,,,,Dijual
1013,DI JUAL CEPAT RUMAH STRATEGIS DI PERUMAHAN BALIKPAPAN BARU,"Rp 2,4 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9018979/,https://picture.rumah123.com/r123/720x420-crop/house/ho90/9018979/original/hos9018979-rumah-di-jual-di-damai-balikpapan-1679985393.jpg,3.0,1.0,375 m²,74 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1014,RUMAH TIGA KAMAR TIDUR DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 1,33 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos9018961/,https://picture.rumah123.com/r123/720x420-crop/house/ho90/9018961/original/hos9018961-rumah-di-jual-di-balikpapan-selatan-balikpapan-1634616471.jpg,3.0,2.0,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1.0,,,,,,,,,,,,Dijual
1015,RUMAH COCOK DI RENOVASI,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8979613/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8979613/original/hos8979613-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832791.jpg,2.0,1.0,105 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1016,BALIKPAPAN RUMAH CANTIK DI TENGAH PUSAT KOTA,"Rp 3,65 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8942511/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8942511/original/hos8942511-rumah-di-jual-di-balikpapan-selatan-balikpapan-1633404393.jpg,3.0,2.0,288 m²,256 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1.0,,,,,,,,,,,,Dijual
1017,BALIKPAPAN RUMAH HUNIAN KLASIK NYAMAN DAN AMAN,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8840090/,https://picture.rumah123.com/r123/720x420-crop/house/ho88/8840090/original/hos8840090-rumah-di-jual-di-balikpapan-selatan-balikpapan-1631579075.jpg,4.0,3.0,300 m²,184 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,,,,,,,,,,,Dijual
1018,MINIMALIS DALAM PERUMAHAN,"Rp 1,65 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8642535/,https://picture.rumah123.com/r123/720x420-crop/house/ho86/8642535/original/hos8642535-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831252.jpg,5.0,4.0,152 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1019,Rumah Balikpapan Baru,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos6487555/,https://picture.rumah123.com/r123/720x420-crop/house/ho64/6487555/original/hos6487555-rumah-di-jual-di-balikpapan-selatan-balikpapan-15880343319613.jpg,2.0,1.0,120 m²,65 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,,,Furnished,1.0,,,,,,Bagus,Dijual
1020,Rumah modern minimalis Batakan Village,"Rp 1,7 Miliar","Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos4489271/,https://picture.rumah123.com/r123/720x420-crop/house/ho44/4489271/original/hos4489271-rumah-di-jual-di-balikpapan-timur-balikpapan-15554143909871.jpg,3.0,2.0,136 m²,117 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,,,,,,,,,,Bagus Sekali,Dijual
1021,Rumah 2 lantai di Citra Bukit Indah Side View Danau,"Rp 2,1 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos1890950/,https://picture.rumah123.com/r123-images/720x420-crop/customer/553144/2023-08-29-09-08-24-d9868864-78de-4a2c-a5fb-3071a7785167.jpg,4.0,4.0,135 m²,125 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,Tidak,Tidak,,1.0,,Tidak,,,Tidak,Bagus,Dijual
1022,RUMAH MINIMALIS DEKAT RUMAH  SAKIT SILOAM,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16211920/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929388/2024-01-29-23-35-59-3eca2c05-a4db-465b-99a4-48960d99ae74.jpg,4.0,2.0,120 m²,70 m²,2.0,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,1.0,Ya,Ya,Semi Furnished,2.0,Perkotaan,Ya,2 Mobil,Sumur Galian,Tidak,Sudah Renovasi,Dijual
1023,RUMAH BARU READY STOCK & SIAP HUNI BEBAS SEMUA BIAYA2 NYA,Rp 485 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16202534/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16202534/original/hos16202534-rumah-di-jual-di-balikpapan-utara-balikpapan-1706516350.jpg,2.0,1.0,96 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1024,"DI  RUMAH BARU SIAP HUNI, RUMAH TUNGGAL & FREE SEMUA BIAYA - BIAYA NYA",Rp 548 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16202382/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16202382/original/hos16202382-rumah-di-jual-di-balikpapan-selatan-balikpapan-1706515762.jpg,2.0,1.0,165 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1025,Tanah Tepi Jalan Utama Balikpapan,"Rp 6,5 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16194434/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2024-01-29-00-06-59-864610c1-47aa-41a2-9044-cad3b826e144.jpg,4.0,4.0,156 m²,200 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,,1.0,Ya,Ya,Semi Furnished,2.0,Perkotaan,Ya,4 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,Dijual
1026,"BALIKPAPAN, RUMAH ASRI DI DEKAT PANTAI (Y477)","Rp 1,5 Miliar","Batakan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16134735/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16134735/original/hos16134735-rumah-di-jual-di-batakan-balikpapan-1705963393.jpg,3.0,2.0,105 m²,91 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1027,Hunian Elit  Modern Di Perumahan Grand City,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16134729/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16134729/original/hos16134729-rumah-di-jual-di-balikpapan-utara-balikpapan-1705963085.jpg,2.0,1.0,72 m²,47 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Semi Furnished,,Pemukiman Warga,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1028,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16122251/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122251/original/hos16122251-rumah-di-jual-di-damai-balikpapan-1705882031.jpg,2.0,3.0,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
1029,BALIKPAPAN PRAPATAN RUMAH COCOK UNTUK BUKA USAHA PINGGIR JALAN RAYA,"Rp 1,6 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16122246/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122246/original/hos16122246-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705881908.jpg,13.0,3.0,215 m²,180 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1.0,Ya,Ya,Unfurnished,2.0,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Butuh Renovasi,Dijual
1030,CEPAT RUMAH CANTIK SEMI FURNISHED,Rp 675 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16122241/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122241/original/hos16122241-rumah-di-jual-di-balikpapan-utara-balikpapan-1705881837.jpg,2.0,1.0,110 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1031,"RUMAH CANTIK, BERSIH DAN TERAWAT GRAND CITY BALIKPAPAN","Rp 1,15 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16122238/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122238/original/hos16122238-rumah-di-jual-di-balikpapan-utara-balikpapan-1705881727.jpg,2.0,2.0,60 m²,47 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,1.0,Tidak,Tidak,Unfurnished,2.0,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1032,RUMAH NYAMAN TANAH LUAS,"Rp 1,25 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16122236/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122236/original/hos16122236-rumah-di-jual-di-balikpapan-utara-balikpapan-1705881682.jpg,3.0,2.0,395 m²,121 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1033,TURUN HARGA!! RUMAH MINIMALIS PERUMAHAN TAMANSARI BUKIT MUTIARA (WIKA) BALIKPAPAN KAL-TIM,Rp 600 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16122233/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122233/original/hos16122233-rumah-di-jual-di-balikpapan-utara-balikpapan-1705881643.jpg,2.0,1.0,90 m²,70 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1.0,Ya,Ya,Semi Furnished,1.0,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
1034,HUNIAN ASRI 2 LANTAI SEMI FURNISH LOKASI AMAN NYAMAN DAN TENANG,"Rp 2,1 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16045582/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16045582/original/hos16045582-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705280063.jpg,3.0,3.0,231 m²,231 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1035,"BALIKPAPAN,  KAWASAN ELITE BERSIH (Y91)","Rp 1,75 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15982095/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15982095/original/hos15982095-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704703840.jpg,2.0,1.0,212 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1036,BALIKPAPAN - HUNIAN Di Kawasan Elite (SL077),"Rp 1,8 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15982001/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15982001/original/hos15982001-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704703443.jpg,5.0,5.0,190 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1037,BALIKPAPAN - Rumah Cantik di Kawasan Perumahan Elite (SL074),"Rp 2,8 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15982000/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15982000/original/hos15982000-rumah-di-jual-di-balikpapan-baru-balikpapan-1704703441.jpg,5.0,4.0,200 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,2.0,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1038,BALIKPAPAN - RUMAH TENGAH KOTA STRATEGIS (SL073),"Rp 5,5 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15981998/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15981998/original/hos15981998-rumah-di-jual-di-balikpapan-tengah-balikpapan-1704703440.jpg,3.0,3.0,620 m²,600 m²,,Rumah,SHM - Sertifikat Hak Milik,9500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1039,BALIKPAPAN - RUMAH FULL FURNISH DI KAWASAN PADAT PENDUDUK (SL055),Rp 850 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15981961/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15981961/original/hos15981961-rumah-di-jual-di-balikpapan-utara-balikpapan-1704703278.jpg,3.0,2.0,150 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1040,BALIKPAPAN - HUNIAN MINIMALIS DI PUSAT KOTA BDS 3 (SL036),Rp 585 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15981956/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15981956/original/hos15981956-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704703275.jpg,2.0,1.0,87 m²,36 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
1041,BALIKPAPAN PUPUK (Y162),"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15981578/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15981578/original/hos15981578-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704701779.jpg,3.0,3.0,389 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1.0,,,,,,,,,,,,Dijual
1042,BALIKPAPAN REGENCY ( Y365),Rp 550 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15981575/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15981575/original/hos15981575-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704701760.jpg,2.0,1.0,72 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1043,BALIKPAPAN RUMAH DALAM CLUSTER (Y438),"Rp 2,5 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15981569/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15981569/original/hos15981569-rumah-di-jual-di-balikpapan-baru-balikpapan-1704701745.jpg,3.0,2.0,180 m²,119 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1044,BALIKPAPAN RUMAH MEWAH DALAM CLUSTER CIPUTRA SIAP HUNI (LKO 02),"Rp 3,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15981533/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15981533/original/hos15981533-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704701608.jpg,4.0,4.0,160 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1.0,,,,,,,,,,,,Dijual
1045,BALIKPAPAN BUKIT DAMAI INDAH ( LKO 01),"Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15981532/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15981532/original/hos15981532-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704701607.jpg,4.0,2.0,144 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1046,RUMAH DEKAT MALL DAERAH PUPUK UTARA V,"Rp 3,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15980799/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15980799/original/hos15980799-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704698933.jpg,4.0,6.0,300 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1047,RUMAH TENGAH KOTA LOKASI DEPAN POLDA KALTIM HARGA NEGO,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15980728/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15980728/original/hos15980728-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704698617.jpg,3.0,1.0,150 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1048,TIGA KAMAR DEKAT SILOAM HOSPITAL,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15980708/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15980708/original/hos15980708-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704698519.jpg,3.0,2.0,120 m²,120 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
1049,Rumah Mess Super Luas Strategis di Balikpapan Kalimantan Timur ,"Rp 1,45 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15980129/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1157169/2024-01-08-06-45-47-c5c06a7d-0cb0-4875-b683-40f901de5738.jpg,13.0,3.0,150 m²,260 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,,,1.0,Ya,Ya,Furnished,2.0,Perkotaan,Tidak,,,Tidak,Bagus,Dijual
1050,Rumah Mess Super Luas Strategis di Balikpapan Kalimantan Timur ,"Rp 1,45 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15980012/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1157169/2024-01-08-06-38-14-de6fc6df-75e6-480d-bcc2-971e91dc8428.jpg,13.0,3.0,150 m²,260 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,,,1.0,Ya,Ya,Furnished,2.0,Perkotaan,Ya,2 Mobil,,Tidak,Bagus,Dijual
1051,RUMAH DUA LANTAI LUAS HOMY COZY DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15813079/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15813079/original/hos15813079-rumah-di-jual-di-balikpapan-utara-balikpapan-1702874877.jpg,3.0,3.0,256 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,2.0,,,,,,,,,,,,Dijual
1052,Hunian Mewah di perumahan mewah Balikpapan Baru,"Rp 7,5 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15812008/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15812008/original/hos15812008-rumah-di-jual-di-balikpapan-baru-balikpapan-1702871513.jpg,6.0,6.0,612 m²,289 m²,4.0,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,2.0,,Ya,Ya,Unfurnished,,,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1053,RUMAH HOOK HOMY TERAWAT BARU RENOVASI DALAM PERUMAHAN BESAR BALIKPAPAN,"Rp 1,88 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15811857/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15811857/original/hos15811857-rumah-di-jual-di-balikpapan-utara-balikpapan-1702870881.jpg,4.0,2.0,206 m²,139 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1.0,,,,,,,,,,,,Dijual
1054,Rumah Minimalis Di Perumahan  Wika  balikpapan ,Rp 950 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15810007/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15810007/original/hos15810007-rumah-di-jual-di-balikpapan-utara-balikpapan-1702858080.jpg,2.0,2.0,120 m²,110 m²,3.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1055,House view lautan and city Balikpapan.  ,"Rp 1,95 Miliar","Sepinggan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15809995/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15809995/original/hos15809995-rumah-di-jual-di-sepinggan-balikpapan-1702857719.jpg,3.0,2.0,136 m²,190 m²,4.0,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Ya,Ya,Semi Furnished,,Pantai,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
